CHANNEL,LOKASI,TANGGAL,BULAN,TAHUN,KODE_BARANG,KLASIFIKASI_BARANG,WARNA_BARANG,UKURAN_BARANG,BERAT_SATUAN,JUMLAH,BERAT_TOTAL
002,LO000025,02/03/2023 00:00:00,02,2023,MP000197,KD000016,PL000037,SZ000009,3,21,64
002,LO000025,02/03/2023 00:00:00,02,2023,MP000197,KD000016,PL000037,SZ000009,2,19,39
002,LO000007,05/09/2023 00:00:00,05,2023,MP002277,KD000037,PL000039,SZ000012,10,3,40
002,LO000007,05/09/2023 00:00:00,05,2023,MP002277,KD000037,PL000039,SZ000012,8,6,48
002,LO000007,05/09/2023 00:00:00,05,2023,MP000197,KD000037,PL000039,SZ000012,5,5,25
002,LO000024,12/28/2022 00:00:00,12,2022,MP002277,KD000009,PL000037,SZ000004,2,3,6
002,LO000024,12/28/2022 00:00:00,12,2022,MP002277,KD000009,PL000037,SZ000007,3,2,6
002,LO000024,12/28/2022 00:00:00,12,2022,MP002175,KD000016,PL000036,SZ000007,30,1,30
002,LO000024,12/28/2022 00:00:00,12,2022,MP002175,KD000016,PL000036,SZ000007,15,2,30
002,LO000024,12/28/2022 00:00:00,12,2022,MP002277,KD000009,PL000037,SZ000007,5,1,10
002,LO000024,12/28/2022 00:00:00,12,2022,MP002277,KD000009,PL000037,SZ000007,4,2,8
002,LO000024,12/28/2022 00:00:00,12,2022,MP002175,KD000016,PL000036,SZ000007,10,2,20
002,LO000024,01/04/2023 00:00:00,01,2023,MP002277,KD000009,PL000037,SZ000007,7,16,118
002,LO000024,01/04/2023 00:00:00,01,2023,MP002277,KD000009,PL000037,SZ000007,5,17,88
002,LO000024,01/04/2023 00:00:00,01,2023,MP002277,KD000009,PL000037,SZ000006,2,10,20
002,LO000024,01/04/2023 00:00:00,01,2023,MP002277,KD000009,PL000037,SZ000006,3,10,31
002,LO000024,01/04/2023 00:00:00,01,2023,MP002277,KD000009,PL000037,SZ000004,2,15,32
002,LO000024,01/04/2023 00:00:00,01,2023,MP002277,KD000009,PL000037,SZ000004,3,15,46
002,LO000025,02/15/2023 00:00:00,02,2023,MP002277,KD000009,PL000037,SZ000012,3,1,3
002,LO000025,02/16/2023 00:00:00,02,2023,MP000197,KD000037,PL000039,SZ000012,4,2,8
002,LO000025,02/16/2023 00:00:00,02,2023,MP000197,KD000037,PL000039,SZ000012,2,1,4
002,LO000025,02/16/2023 00:00:00,02,2023,MP002175,KD000028,PL000036,SZ000013,7,1,7
002,LO000025,02/20/2023 00:00:00,02,2023,MP000294,KD000016,PL000037,SZ000012,7,0,7
002,LO000025,02/20/2023 00:00:00,02,2023,MP000294,KD000016,PL000037,SZ000009,2,2,4
002,LO000025,02/20/2023 00:00:00,02,2023,MP000294,KD000016,PL000037,SZ000009,2,3,6
002,LO000025,02/20/2023 00:00:00,02,2023,MP000294,KD000016,PL000037,SZ000012,3,3,9
002,LO000025,02/20/2023 00:00:00,02,2023,MP000284,KD000016,PL000037,SZ000009,3,3,9
002,LO000025,02/20/2023 00:00:00,02,2023,MP000294,KD000016,PL000037,SZ000012,6,0,6
